name,price,change,change%,high,low
元大台灣卓越50基金,81.4700,0.6000,0.74,85.6100,29.2400
元大摩臺基金,37.7900,0.2600,0.69,39.6400,22.4900
國泰臺灣低波動精選30基金,20.1800,0.1300,0.65,20.4800,19.6100
兆豐國際臺灣藍籌30ETF基金,21.0200,0.1300,0.62,22.3200,19.4200
元大台灣電子科技基金,35.3000,0.2100,0.60,39.0900,11.8100
元大台灣金融基金,16.3300,0.0800,0.49,17.4700,6.4600
元大台灣加權股價指數基金,24.2630,0.1050,0.43,24.9620,7.0180
元大台商收成基金,23.8500,0.0900,0.38,28.7100,10.0700
元大台灣高股息基金,24.9200,0.0800,0.32,28.6000,12.8200
富邦台灣科技指數基金,52.6600,0.1200,0.23,56.0700,17.3400
華頓標普高盛黃豆ER指數期貨基金,19.1900,0.0300,0.16,21.5200,18.7900
元大台灣高股息低波動ETF基金,30.0200,0.0400,0.13,31.0300,29.7600
元大富櫃50基金,14.7200,0.0000,0.00,15.2600,8.5500
富邦臺灣公司治理100基金,20.6300,0.0000,0.00,22.4600,19.8100
元大台灣中型100基金,31.4600,0.0000,0.00,41.6700,13.5800
富邦台灣摩根基金,49.0600,51.5200,15.3800,45.9800,50.0700
富邦台灣釆吉50基金,28.5800,52.4500,55.6100,33.1900,17.9000
永豐臺灣加權ETF基金,20.4200,17.4600,8.9100,10.2500,8.6700
兆豐國際臺灣藍籌30單日反向一倍ETF基金,40.2400,40.5900,13.5800,45.5800,49.2000
群益臺灣加權指數單日反向1倍基金,17.1200,0.6000,0.74,85.6100,29.2400
富邦台灣金融基金,81.4700,0.2600,0.69,39.6400,22.4900
富邦台灣發達基金,37.7900,0.1300,0.65,20.4800,19.6100
聯邦精選科技基金,20.1800,0.1300,0.62,22.3200,19.4200
日盛高科技基金,21.0200,0.2100,0.60,39.0900,11.8100
統一奔騰基金,35.3000,0.0800,0.49,17.4700,6.4600
群益創新科技基金,16.3300,0.1050,0.43,24.9620,7.0180
富蘭克林華美高科技基金,24.2630,0.0900,0.38,28.7100,10.0700
野村高科技基金,23.8500,0.0800,0.32,28.6000,12.8200
野村e科技基金,24.9200,0.1200,0.23,56.0700,17.3400
匯豐龍騰電子基金,52.6600,0.0300,0.16,21.5200,18.7900
新光創新科技基金,19.1900,0.0400,0.13,31.0300,29.7600
元大高科技基金,30.0200,0.0000,0.00,15.2600,8.5500
兆豐國際電子基金,14.7200,0.0000,0.00,22.4600,19.8100
復華數位經濟基金,20.6300,0.0000,0.00,41.6700,13.5800
瀚亞高科技基金,31.4600,51.5200,15.3800,45.9800,50.0700
瀚亞電通網基金,49.0600,52.4500,55.6100,33.1900,17.9000
保德信科技島基金,28.5800,17.4600,8.9100,10.2500,8.6700
第一金電子基金,20.4200,40.5900,13.5800,45.5800,49.2000
摩根新興科技基金,40.2400,12.40,0.08,0.65,12.87
台新2000高科技基金,17.1200,16.06,0.07,0.44,17.01
安聯台灣科技基金,3.88,54.64,0.18,0.33,57.14
國泰高科技基金,3.26,30.79,0.09,0.29,34.52
德信數位時代基金,7.73,20.11,0.04,0.20,21.18
永豐高科技基金,5.70,10.21,0.02,0.20,11.23
景順台灣科技基金,7.70,19.92,0.03,0.15,21.46
富邦科技基金,2.67,37.18,0.05,0.13,45.12
國泰科技生化基金,4.10,15.06,0.02,0.13,19.81
永豐領航科技基金,7.45,17.02,0.02,0.12,24.00
華頓中小型基金,4.44,26.01,0.02,0.08,36.05
統一中小基金,5.21,52.38,0.04,0.08,54.94
群益中小型股基金,7.87,58.46,0.00,0.00,65.67
兆豐國際中小基金,4.47,15.21,0.00,0.00,17.51
野村中小基金,7.37,24.71,33.89,8.29,30.98
復華中小精選基金,3.57,4.86,57.15,62.27,7.53
元大精準中小基金,32.75,37.99,3.70,40.88,42.17
匯豐中小基金,35.88,12.80,16.68,4.33,29.62
瀚亞中小型股基金,5.95,5.02,21.38,22.26,4.10
日盛小而美基金,31.36,38.35,8.80,23.23,27.42
第一金小型精選基金,35.88,37.38,39.60,7.80,35.44
中國信託台灣活力基金,8.24,6.77,0.74,85.6100,29.2400
台新台灣中小基金,37.32,0.6000,0.69,39.6400,22.4900
摩根中小基金,81.4700,0.2600,0.65,20.4800,19.6100
永豐中小基金,37.7900,0.1300,0.62,22.3200,19.4200
富邦精銳中小基金,20.1800,0.1300,0.60,39.0900,11.8100
施羅德樂活中小基金-A類型,21.0200,0.2100,0.49,17.4700,6.4600
保德信中小型股基金,35.3000,0.0800,0.43,24.9620,7.0180
國泰中小成長基金,16.3300,0.1050,0.38,28.7100,10.0700
德信台灣主流中小基金,24.2630,0.0900,0.32,28.6000,12.8200
兆豐國際國民基金,23.8500,0.0800,0.23,56.0700,17.3400
統一台灣動力基金,24.9200,0.1200,0.16,21.5200,18.7900
群益葛萊美基金,52.6600,0.0300,0.13,31.0300,29.7600
華頓台灣基金,19.1900,0.0400,0.00,15.2600,8.5500
群益奧斯卡基金,30.0200,0.0000,0.00,22.4600,19.8100
兆豐國際第一基金,14.7200,0.0000,0.00,41.6700,13.5800
兆豐國際豐台灣基金,20.6300,0.0000,15.3800,45.9800,50.0700
復華全方位基金,31.4600,51.5200,55.6100,33.1900,17.9000
統一經建基金,49.0600,52.4500,8.9100,10.2500,8.6700
統一大滿貫基金,28.5800,17.4600,13.5800,45.5800,49.2000
日盛上選基金,20.4200,40.5900,0.08,0.65,12.87
新光大三通基金,40.2400,12.40,0.07,0.44,17.01
統一全天候基金,17.1200,16.06,0.18,0.33,57.14
新光台灣富貴基金,3.88,54.64,0.09,0.29,34.52
統一龍馬基金,3.26,30.79,0.04,0.20,21.18
凱基開創基金,7.73,20.11,0.02,0.20,11.23
華南永昌永昌基金,5.70,10.21,0.03,0.15,21.46
柏瑞巨人基金,7.70,19.92,0.05,0.13,45.12
富蘭克林華美傳產基金,2.67,37.18,0.02,0.13,19.81
合庫台灣基金,4.10,15.06,0.02,0.12,24.00
匯豐台灣精典基金,7.45,17.02,0.02,0.08,36.05
日盛精選五虎基金,4.44,26.01,0.04,0.08,54.94
聯博大利基金,5.21,52.38,0.00,0.00,65.67
統一統信基金,7.87,58.46,0.00,0.00,17.51
路博邁AR台灣股票基金T月配型(本基金之配息來源可能為本金),4.47,15.21,33.89,8.29,30.98
匯豐龍鳳基金,7.37,24.71,57.15,62.27,7.53
凱基台灣精五門基金,3.57,4.86,3.70,40.88,42.17
元大經貿基金,32.75,37.99,16.68,4.33,29.62
宏利臺灣股息收益基金,35.88,12.80,21.38,22.26,4.10
摩根台灣增長基金,5.95,5.02,8.80,23.23,27.42
富蘭克林華美第一富基金,31.36,38.35,39.60,7.80,35.44
景順主流基金,35.88,37.38,24.38,0.28,1.16
路博邁AR台灣股票基金T累積型,8.24,6.77,25.60,0.21,0.83
統一黑馬基金,37.32,9.97,44.12,0.35,0.80
瀚亞外銷基金,60.53,4.78,15.58,0.10,0.65
德銀遠東DWS台灣旗艦基金,26.97,9.24,45.53,0.04,0.09
野村成長基金,45.61,6.56,62.99,0.03,0.05
